Name,CSD_Refcode,Database_Acronym,Generic_Identity,Calculation_Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal_Structure_File_Type,Crystal_Structure_Availability,matched_not_open_in_col,OOD_flag
HOJLEY_CoRE,HOJLEY,CoRE,Real,Crystallographic properties,1.41101,0.0,0.0,0.143682,0.298255,3.63337,2.83052,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
TIMMIM_CoRE,TIMMIM,CoRE,Real,Crystallographic properties,1.4581,0.0,0.0,0.20406,0.307114,4.78334,2.83048,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
REYCEF_CoRE,REYCEF,CoRE,Real,Crystallographic properties,1.64652,0.0,0.0,0.0803557,0.232675,3.74512,2.8294,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
IDORIE_CoRE,IDORIE,CoRE,Real,Crystallographic properties,1.1689,0.0,0.0,0.452724,0.492292,8.97123,2.82848,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
CAKXET_CoRE,CAKXET,CoRE,Real,Crystallographic properties,1.94405,0.0,0.0,0.271119,0.236339,4.14523,2.82776,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
OKIQAB_CoRE,OKIQAB,CoRE,Real,Crystallographic properties,1.34977,0.0,0.0,0.190915,0.314253,5.10514,2.82759,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
FIGXAU_CoRE,FIGXAU,CoRE,Real,Crystallographic properties,2.0438,0.0,0.0,0.268043,0.251295,3.75003,2.82695,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
IXUHUE_CoRE,IXUHUE,CoRE,Real,Crystallographic properties,2.03817,0.0,0.0,0.202243,0.200839,4.06108,2.8241,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
HIDBON_CoRE,HIDBON,CoRE,Real,Crystallographic properties,1.63128,0.0,0.0,0.189445,0.258787,3.58323,2.82343,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
TETWUM_CoRE,TETWUM,CoRE,Real,Crystallographic properties,1.70578,0.0,0.0,0.165276,0.254921,4.92925,2.81869,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
