name,csd_refc,db_acr,gt,calc_type,Density,GSA,VSA,VF,PV,LCD,PLD,ug_at_tps,uv_at_tps,source,csft,csa,sample_weight_ug_at_tps,sample_weight_uv_at_tps
FIQYUA_CoRE,FIQYUA,CoRE,Real,Grand Canonical Monte Carlo,1.86,0.0,0.0,0.25,0.24,4.63,3.63,0.77,14.45,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
TEVZOK_CoRE,TEVZOK,CoRE,Real,Grand Canonical Monte Carlo,1.98,0.0,0.0,0.24,0.22,4.57,3.54,0.72,14.45,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
XOQXOR_CoRE,XOQXOR,CoRE,Real,Grand Canonical Monte Carlo,1.2,0.0,0.0,0.24,0.4,4.83,2.72,1.19,14.45,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
GIFSOF_CoRE,GIFSOF,CoRE,Real,Grand Canonical Monte Carlo,1.36,0.0,0.0,0.26,0.33,5.26,3.07,1.05,14.43,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
LEDNEP_CoRE,LEDNEP,CoRE,Real,Grand Canonical Monte Carlo,2.19,80.3,176.0,0.22,0.2,4.53,3.9,0.65,14.42,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
PUQHIT_CoRE,PUQHIT,CoRE,Real,Grand Canonical Monte Carlo,1.49,0.0,0.0,0.19,0.29,4.12,2.8,0.96,14.42,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
WEBZEK_CoRE,WEBZEK,CoRE,Real,Grand Canonical Monte Carlo,1.29,0.0,0.0,0.2,0.36,4.42,2.85,1.1,14.42,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
XUVGUQ01_CoRE,XUVGUQ01,CoRE,Real,Grand Canonical Monte Carlo,2.37,0.0,0.0,0.2,0.15,5.67,3.67,0.6,14.38,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
CAVSOJ_CoRE,CAVSOJ,CoRE,Real,Grand Canonical Monte Carlo,1.58,0.0,0.0,0.17,0.29,4.17,3.03,0.9,14.36,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
EXIDEV_CoRE,EXIDEV,CoRE,Real,Grand Canonical Monte Carlo,1.31,0.0,0.0,0.23,0.34,4.2,2.86,1.08,14.36,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
GUQTOB_CoRE,GUQTOB,CoRE,Real,Grand Canonical Monte Carlo,2.71,0.0,0.0,0.18,0.15,3.95,3.16,0.53,14.36,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
QITMUC_CoRE,QITMUC,CoRE,Real,Grand Canonical Monte Carlo,2.09,0.0,0.0,0.12,0.19,3.41,2.59,0.68,14.34,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
ZIHTEP_CoRE,ZIHTEP,CoRE,Real,Grand Canonical Monte Carlo,1.11,0.0,0.0,0.17,0.39,4.35,3.49,1.27,14.34,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
AVESAW_CoRE,AVESAW,CoRE,Real,Grand Canonical Monte Carlo,2.03,0.0,0.0,0.19,0.22,4.33,2.46,0.7,14.33,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
CUMDIY_CoRE,CUMDIY,CoRE,Real,Grand Canonical Monte Carlo,2.01,274.9,553.1,0.28,0.19,5.06,4.26,0.71,14.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
DIZQOT_CoRE,DIZQOT,CoRE,Real,Grand Canonical Monte Carlo,1.59,0.0,0.0,0.14,0.25,3.46,2.72,0.89,14.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
FAQYUR_CoRE,FAQYUR,CoRE,Real,Grand Canonical Monte Carlo,1.84,0.0,0.0,0.23,0.24,4.29,3.37,0.77,14.31,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
ZERNUH_CoRE,ZERNUH,CoRE,Real,Grand Canonical Monte Carlo,1.69,0.0,0.0,0.21,0.25,4.72,2.62,0.84,14.31,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
FIHLUF_CoRE,FIHLUF,CoRE,Real,Grand Canonical Monte Carlo,1.48,0.0,0.0,0.3,0.28,4.53,3.22,0.95,14.3,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
