Name,CSD Refcode,Database_Acronym,Generic Identity,Calculation Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal Structure File Type,Crystal Structure Availability,matched_not_open_in_col
AHUFIU_clean,AHUFIU,CoRE 2019,Real,Machine Learning,0.961965,2123.15,2042.39,0.6792,0.706055,8.82374,6.2087,DOI: 10.5281/zenodo.3540076,CIF (P1 Symmetry),Open Source,
EWUKIS_clean,EWUKIS,CoRE 2019,Real,Machine Learning,1.05799,2291.97,2424.88,0.6762,0.639136,6.09706,5.36823,DOI: 10.5281/zenodo.3530631,CIF (P1 Symmetry),Open Source,
PEPFAT_CoRE,PEPFAT,CoRE,Real,Crystallographic properties,1.0029,2029.42,2035.31,0.721319,0.68728,10.91726,6.85852,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
NEXXIZ_CoRE,NEXXIZ,CoRE,Real,Crystallographic properties,0.709285,2170.63,1539.59,0.679972,0.902671,9.73301,9.22346,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
ic101789u_si_002_clean,Not Applicable,CoRE 2019,Real,Machine Learning,0.866561,3000.42,2600.04,0.6794,0.784019,5.93071,5.35547,DOI: 10.5281/zenodo.3532133,CIF (P1 Symmetry),Open Source,
QUJJUC_clean,QUJJUC,CoRE 2019,Real,Machine Learning,1.09976,2362.82,2598.54,0.689,0.626499,6.37183,4.25289,DOI: 10.5281/zenodo.3536204,CIF (P1 Symmetry),Open Source,
PEKCUF_CoRE,PEKCUF,CoRE,Real,Crystallographic properties,0.769862,2466.65,1898.98,0.68103,0.872958,8.20333,5.43297,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
NEDWAW_CoRE,NEDWAW,CoRE,Real,Crystallographic properties,0.756185,2501.29,1891.44,0.674706,0.891967,8.21752,5.99671,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
FAYPEC_CoRE,FAYPEC,CoRE,Real,Crystallographic properties,0.745804,2230.59,1663.58,0.644656,0.922212,11.32938,4.75784,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
ANOMUM_CoRE,ANOMUM,CoRE,Real,Crystallographic properties,0.833729,2777.93,2316.04,0.725999,0.832127,7.28969,4.98752,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
CUFGIV_clean,CUFGIV,CoRE 2019,Real,Machine Learning,0.929294,2794.99,2597.37,0.6854,0.737549,7.21934,5.21879,DOI: 10.5281/zenodo.3529618,CIF (P1 Symmetry),Open Source,
VAMQOS_clean,VAMQOS,CoRE 2019,Real,Machine Learning,1.17541,1321.44,1553.24,0.6476,0.550957,11.49062,10.84702,DOI: 10.5281/zenodo.3538029,CIF (P1 Symmetry),Open Source,
NASRIL_clean,NASRIL,CoRE 2019,Real,Machine Learning,0.851796,2877.3,2450.87,0.6816,0.800191,7.12232,4.94837,DOI: 10.5281/zenodo.3534539,CIF (P1 Symmetry),Open Source,
REHHOD_CoRE,REHHOD,CoRE,Real,Crystallographic properties,0.978772,1964.81,1923.1,0.708142,0.699779,9.5023,7.30426,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
LASYOU_CoRE,LASYOU,CoRE,Real,Crystallographic properties,0.926612,2242.62,2078.04,0.769662,0.744801,10.05429,4.94116,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
UCOJIH_clean,UCOJIH,CoRE 2019,Real,Machine Learning,1.22088,1681.21,2052.56,0.6616,0.541903,8.11816,7.11073,DOI: 10.5281/zenodo.3537551,CIF (P1 Symmetry),Open Source,
EWUSUL_CoRE,EWUSUL,CoRE,Real,Crystallographic properties,0.979503,1625.66,1592.34,0.650247,0.733611,11.25293,8.38572,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
VEJYOZ_clean,VEJYOZ,CoRE 2019,Real,Machine Learning,0.880009,2381.88,2096.08,0.6858,0.779311,8.47376,5.69683,DOI: 10.5281/zenodo.3538160,CIF (P1 Symmetry),Open Source,
SAQQIL_CoRE,SAQQIL,CoRE,Real,Crystallographic properties,0.918282,1726.68,1585.58,0.726496,0.746108,10.65559,9.10715,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
ATIJUJ_CoRE,ATIJUJ,CoRE,Real,Crystallographic properties,0.753394,1597.67,1203.67,0.635023,0.939775,17.44029,16.95446,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
KOQGAA_clean,KOQGAA,CoRE 2019,Real,Machine Learning,0.843924,2621.44,2212.29,0.6754,0.800309,7.45827,6.37797,DOI: 10.5281/zenodo.3541008,CIF (P1 Symmetry),Open Source,
SUPLOF_CoRE,SUPLOF,CoRE,Real,Crystallographic properties,0.800346,2397.66,1918.96,0.679576,0.846158,9.82615,5.81764,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
XEHDEV_clean,XEHDEV,CoRE 2019,Real,Machine Learning,0.958795,1760.7,1688.15,0.6704,0.699211,10.95452,9.96703,DOI: 10.5281/zenodo.3539090,CIF (P1 Symmetry),Open Source,
NOFHOG_CoRE,NOFHOG,CoRE,Real,Crystallographic properties,0.822826,2975.09,2447.99,0.738246,0.843184,6.65675,5.09348,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
SAQQAD_CoRE,SAQQAD,CoRE,Real,Crystallographic properties,0.899459,1793.96,1613.6,0.725848,0.761309,10.6229,9.13911,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
RODBAP_clean,RODBAP,CoRE 2019,Real,Machine Learning,0.913193,2683.71,2450.75,0.7006,0.767198,7.01898,5.1049,DOI: 10.5281/zenodo.3536534,CIF (P1 Symmetry),Open Source,
VAKNAZ_clean,VAKNAZ,CoRE 2019,Real,Machine Learning,0.853713,3232.68,2759.78,0.701,0.821119,6.16822,4.1914,DOI: 10.5281/zenodo.3541961,CIF (P1 Symmetry),Open Source,
