Name ,CSD refc. ,DB Acr. ,GT ,Calc. Type ,Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS ,Source ,CSFT ,CSA 
EBIJAC_CoRE,EBIJAC,CoRE,Real,Grand Canonical Monte Carlo,1.36,346.3,470.2,0.31,0.35,5.69,4.35,0.42,5.93,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LIRNEH_CoRE,LIRNEH,CoRE,Real,Grand Canonical Monte Carlo,1.16,0.0,0.0,0.22,0.43,4.04,2.52,0.5,5.93,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MAZJEC_CoRE,MAZJEC,CoRE,Real,Grand Canonical Monte Carlo,1.91,0.0,0.0,0.31,0.25,5.75,2.93,0.3,5.93,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MUJRIT_CoRE,MUJRIT,CoRE,Real,Grand Canonical Monte Carlo,1.31,695.3,908.4,0.38,0.4,6.25,5.12,0.44,5.93,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIKJIB_CoRE,NIKJIB,CoRE,Real,Grand Canonical Monte Carlo,1.15,0.0,0.0,0.42,0.47,7.24,3.61,0.49,5.93,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
GIWBOE_CoRE,GIWBOE,CoRE,Real,Grand Canonical Monte Carlo,1.14,949.4,1078.1,0.48,0.49,6.14,4.01,0.49,5.92,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LOFZUB_CoRE,LOFZUB,CoRE,Real,Grand Canonical Monte Carlo,1.46,0.0,0.0,0.8,0.38,8.37,3.57,0.38,5.92,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIKYUC02_CoRE,NIKYUC02,CoRE,Real,Grand Canonical Monte Carlo,1.67,0.0,0.0,0.29,0.28,4.9,3.64,0.35,5.92,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
RIHXIR_CoRE,RIHXIR,CoRE,Real,Grand Canonical Monte Carlo,1.68,0.0,0.0,0.24,0.28,5.94,2.57,0.34,5.92,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XUNJEW_CoRE,XUNJEW,CoRE,Real,Grand Canonical Monte Carlo,1.35,786.45,1060.45,0.54,0.4,7.71,4.19,0.42,5.92,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
IQEWOQ_CoRE,IQEWOQ,CoRE,Real,Grand Canonical Monte Carlo,1.59,424.0,673.3,0.3,0.3,5.17,4.01,0.36,5.91,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
KEXFAU_CoRE,KEXFAU,CoRE,Real,Grand Canonical Monte Carlo,0.91,1577.6,1440.9,0.51,0.66,4.63,3.97,0.61,5.91,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PUWCEP_CoRE,PUWCEP,CoRE,Real,Grand Canonical Monte Carlo,1.58,876.7,1384.1,0.71,0.36,6.0,4.1,0.36,5.91,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EWIMON_CoRE,EWIMON,CoRE,Real,Grand Canonical Monte Carlo,1.23,642.0,786.5,0.36,0.41,5.42,3.96,0.46,5.9,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
SOKKOT_CoRE,SOKKOT,CoRE,Real,Grand Canonical Monte Carlo,1.21,588.0,712.3,0.41,0.45,6.18,5.67,0.47,5.9,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
TARWEO_CoRE,TARWEO,CoRE,Real,Grand Canonical Monte Carlo,1.76,400.6,706.0,0.29,0.26,5.9,5.42,0.33,5.9,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EQUBIC_CoRE,EQUBIC,CoRE,Real,Grand Canonical Monte Carlo,2.01,252.4,508.2,0.33,0.23,4.63,4.03,0.29,5.89,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
FARHOX_CoRE,FARHOX,CoRE,Real,Grand Canonical Monte Carlo,1.63,0.0,0.0,0.45,0.32,6.27,3.63,0.35,5.89,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
YUGZEG_CoRE,YUGZEG,CoRE,Real,Grand Canonical Monte Carlo,1.77,0.0,0.0,0.43,0.25,4.22,3.58,0.32,5.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EZUCOS_CoRE,EZUCOS,CoRE,Real,Grand Canonical Monte Carlo,1.33,0.0,0.0,0.43,0.39,6.22,3.17,0.42,5.86,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
QISVEU_CoRE,QISVEU,CoRE,Real,Grand Canonical Monte Carlo,1.37,0.0,0.0,0.37,0.37,5.35,2.66,0.41,5.86,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
SOJGOO_CoRE,SOJGOO,CoRE,Real,Grand Canonical Monte Carlo,1.25,560.5,697.9,0.44,0.41,6.25,4.92,0.45,5.86,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
YEGTEK_CoRE,YEGTEK,CoRE,Real,Grand Canonical Monte Carlo,1.57,0.0,0.0,0.31,0.33,5.83,3.29,0.36,5.86,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ZEZPOL_CoRE,ZEZPOL,CoRE,Real,Grand Canonical Monte Carlo,1.36,0.0,0.0,0.41,0.42,5.01,3.18,0.41,5.86,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ALUREF_CoRE,ALUREF,CoRE,Real,Grand Canonical Monte Carlo,1.05,0.0,0.0,0.45,0.5,6.83,3.72,0.53,5.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ALURIJ_CoRE,ALURIJ,CoRE,Real,Grand Canonical Monte Carlo,1.08,0.0,0.0,0.45,0.49,6.88,3.54,0.51,5.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EHUCOA_CoRE,EHUCOA,CoRE,Real,Grand Canonical Monte Carlo,0.98,0.0,0.0,0.45,0.58,5.18,3.26,0.57,5.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HEFDED_CoRE,HEFDED,CoRE,Real,Grand Canonical Monte Carlo,1.18,524.6,618.2,0.26,0.41,6.93,4.23,0.48,5.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIFQEY_CoRE,MIFQEY,CoRE,Real,Grand Canonical Monte Carlo,1.66,0.0,0.0,0.25,0.28,4.55,2.9,0.34,5.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NAKLIW_CoRE,NAKLIW,CoRE,Real,Grand Canonical Monte Carlo,1.16,888.3,1029.6,0.55,0.53,5.08,4.02,0.48,5.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
YEZKIZ_CoRE,YEZKIZ,CoRE,Real,Grand Canonical Monte Carlo,1.12,0.0,0.0,0.4,0.46,5.89,3.34,0.5,5.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIKJUN_CoRE,NIKJUN,CoRE,Real,Grand Canonical Monte Carlo,1.38,0.0,0.0,0.43,0.36,5.97,2.84,0.41,5.84,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ATICAH_CoRE,ATICAH,CoRE,Real,Grand Canonical Monte Carlo,1.6,406.1,647.7,0.29,0.3,5.25,3.97,0.36,5.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LAZSIQ_CoRE,LAZSIQ,CoRE,Real,Grand Canonical Monte Carlo,1.23,0.0,0.0,0.54,0.44,5.42,2.94,0.46,5.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XEGKIF_CoRE,XEGKIF,CoRE,Real,Grand Canonical Monte Carlo,1.33,253.7,336.7,0.4,0.4,5.21,3.75,0.42,5.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
DICVAO_CoRE,DICVAO,CoRE,Real,Grand Canonical Monte Carlo,1.12,0.0,0.0,0.52,0.51,6.28,3.53,0.49,5.82,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIHBIQ_CoRE,NIHBIQ,CoRE,Real,Grand Canonical Monte Carlo,1.67,375.0,620.6,0.29,0.28,5.3,3.89,0.34,5.82,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
REJLEY_CoRE,REJLEY,CoRE,Real,Grand Canonical Monte Carlo,1.17,979.1,1147.5,0.47,0.45,5.19,4.85,0.48,5.82,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
CUNWEO_CoRE,CUNWEO,CoRE,Real,Grand Canonical Monte Carlo,1.23,836.9,1030.6,0.46,0.42,7.1,6.49,0.45,5.81,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIHLEV_CoRE,MIHLEV,CoRE,Real,Grand Canonical Monte Carlo,1.38,0.0,0.0,0.32,0.35,5.7,3.7,0.41,5.81,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
TISKOW_CoRE,TISKOW,CoRE,Real,Grand Canonical Monte Carlo,1.56,0.0,0.0,0.33,0.33,6.2,2.96,0.36,5.81,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ABUWOJ_CoRE,ABUWOJ,CoRE,Real,Grand Canonical Monte Carlo,1.16,869.8,1007.6,0.55,0.53,5.08,4.03,0.47,5.8,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIKJOH_CoRE,NIKJOH,CoRE,Real,Grand Canonical Monte Carlo,1.26,0.0,0.0,0.43,0.4,5.93,3.01,0.44,5.8,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ILIGEP_CoRE,ILIGEP,CoRE,Real,Grand Canonical Monte Carlo,1.86,325.9,606.0,0.3,0.23,5.4,4.22,0.31,5.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
IXEDOE_CoRE,IXEDOE,CoRE,Real,Grand Canonical Monte Carlo,1.13,0.0,0.0,0.5,0.49,7.1,3.51,0.48,5.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
OQIQUB01_CoRE,OQIQUB01,CoRE,Real,Grand Canonical Monte Carlo,1.1,556.9,627.0,0.37,0.47,6.32,4.89,0.5,5.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
QIDDAI02_CoRE,QIDDAI02,CoRE,Real,Grand Canonical Monte Carlo,1.04,0.0,0.0,0.47,0.56,5.06,3.07,0.53,5.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
TEQTEQ_CoRE,TEQTEQ,CoRE,Real,Grand Canonical Monte Carlo,1.15,895.9,1031.4,0.45,0.45,6.71,5.82,0.48,5.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
YEGRAD_CoRE,YEGRAD,CoRE,Real,Grand Canonical Monte Carlo,1.68,0.0,0.0,0.22,0.28,4.07,2.59,0.34,5.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
BEKYOG_CoRE,BEKYOG,CoRE,Real,Grand Canonical Monte Carlo,2.09,336.6,703.0,0.29,0.22,5.5,4.59,0.27,5.78,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XEKMIL_CoRE,XEKMIL,CoRE,Real,Grand Canonical Monte Carlo,1.91,283.7,541.0,0.31,0.24,4.64,3.83,0.3,5.78,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XEXLIX_CoRE,XEXLIX,CoRE,Real,Grand Canonical Monte Carlo,1.24,846.5,1050.5,0.46,0.42,7.05,6.65,0.45,5.78,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ZAYJOA_CoRE,ZAYJOA,CoRE,Real,Grand Canonical Monte Carlo,3.85,0.0,0.0,0.12,0.1,4.04,3.49,0.15,5.78,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
AMOYOR_CoRE,AMOYOR,CoRE,Real,Grand Canonical Monte Carlo,1.17,477.9,559.0,0.3,0.4,4.83,4.49,0.48,5.77,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EZOBUR_CoRE,EZOBUR,CoRE,Real,Grand Canonical Monte Carlo,1.27,437.0,596.5,0.34,0.42,5.45,4.5,0.44,5.77,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HICVOG_CoRE,HICVOG,CoRE,Real,Grand Canonical Monte Carlo,1.26,669.0,840.6,0.52,0.44,4.79,4.34,0.44,5.77,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HIZQUD_CoRE,HIZQUD,CoRE,Real,Grand Canonical Monte Carlo,1.5,755.9,1130.4,0.53,0.37,6.31,5.26,0.37,5.77,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
OQEROS_CoRE,OQEROS,CoRE,Real,Grand Canonical Monte Carlo,1.17,828.1,967.8,0.5,0.47,5.48,4.6,0.47,5.76,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
OQESEJ_CoRE,OQESEJ,CoRE,Real,Grand Canonical Monte Carlo,1.17,807.7,945.8,0.49,0.47,5.44,4.56,0.47,5.76,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PUTYAE_CoRE,PUTYAE,CoRE,Real,Grand Canonical Monte Carlo,1.48,285.3,422.9,0.36,0.34,4.56,3.89,0.38,5.76,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
TEJGEW_CoRE,TEJGEW,CoRE,Real,Grand Canonical Monte Carlo,1.92,271.1,520.9,0.31,0.24,4.66,3.8,0.29,5.76,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
